English lemma,Swedish lemma,POS,status
ict4rd tanzania,ict4rd tanzania,,both misspelt
ict4rd rwanda,ict4rd rwanda,,both misspelt
aglarbri,aglarbri,,both misspelt
infrastructure and,infrastruktur och applikationer reproducerbarhet,,english misspelt
carrier ethernet,carrier ethernet,,swedish misspelt
neo4j,neo4j,,both misspelt
grafdatabas,grafdatabas,,english misspelt
visual studio,visual studio,,swedish misspelt
contract theory,contract theory,,swedish misspelt
iso 26262,iso 26262,,both misspelt
6 degree-of-freedom,6 frihetsgrader,,english misspelt
light detection and ranging,ljusdetektion och avstånd,,english misspelt
truedepth,truedepth,,both misspelt
voice anonymization,röstanonymisering,,english misspelt
voice deanonymization,röstdeanonymisering,,both misspelt
whistleblowing,visselblåsning,,english misspelt
front running,front running,,swedish misspelt
perceptron neural network,perceptron neurala nätverk,,both misspelt
dc field probe,dc fält prob,,swedish misspelt
electro-optics,elektro-optik,,english misspelt
rgb-d camera,rgb-d-kamera,,both misspelt
software retirement,mjukvaru pensionering,,swedish misspelt
software lifecycle,mjukvaras livscykel,,english misspelt
legacy code,legacy kod,,swedish misspelt
reengineering,reenginering,,both misspelt
real-time operating system,rtos,,swedish misspelt
fuzzy logic system,fuzzy logicsystem,,swedish misspelt
and computation architecture,och beräkningsarkitektur,,english misspelt
acute coronary syndrome,akuta koronara syndrom,,swedish misspelt
data service hub,tjänstehubb,,swedish misspelt
cyber-security and nordic electricity retail market,cyber-säkerhet och nordiska elmarknaden,,english misspelt
robotic process automation,robotic process automation,,swedish misspelt
gui testing,gui-testning,,swedish misspelt
real-time positioning,realtidspositionering,,swedish misspelt
georeferencing,georeferens,,english misspelt
lidar odometry,lidarodometri,,both misspelt
oste,oste,,english misspelt
bonding,binding,,swedish misspelt
biocompatibility,biokompatibilitet,,english misspelt
reachability of target set and target tube,målsättning och målrörs tillgänglighet,,english misspelt
poseestimation,positionsestimering,,english misspelt
tube mpc,tube mpc,,both misspelt
multi-modal fusion,multimodal fusion,,english misspelt
gaussian mixture,gaussisk blandning,,swedish misspelt
orb-slam3,orb-slam3,,both misspelt
micro-batching,mikro-batching,,swedish misspelt
data stream processing,dataströmsprocessering,,swedish misspelt
general purpose,eventbaserade,,swedish misspelt
multi-core,flerkärnig,,english misspelt
runtime control,körtidskontroll,,english misspelt
google assistant,google assistant,,swedish misspelt
saas migration,saas migrering,,both misspelt
safereinforcement learning,säker förstärkningsinlärning,,english misspelt
backchanneling,uppbackning,,english misspelt
supply chain,supply chain,,swedish misspelt
predictive analytics,predictiv analys,,both misspelt
behavior studies,betendestudier,,swedish misspelt
event notification,eventnotifikation,,swedish misspelt
webhooks,webhooks,,both misspelt
polling,polling,,swedish misspelt
outliers,outlierupptäckt,,swedish misspelt
graphene,grafen,,english misspelt
graphene quantum dots,grafen kvantprickar,,english misspelt
on-paper microsupercapacitor,mikrosuperkondensator på papper,,english misspelt
apache hudi,apache hudi,,both misspelt
lakehouse,lakehouse,,both misspelt
sub-array,sub-array,,swedish misspelt
array antenna,array antenn,,swedish misspelt
scatterplot,punktdiagram,,english misspelt
mixture density network,mixture density network,,swedish misspelt
gaussian mixture model,gaussian mixture model,,swedish misspelt
semantic graph network,semantic graph network,,swedish misspelt
collaborative robot,samarbets robot,,swedish misspelt
dgm,dgm,,both misspelt
4d imaging radar,4d-bildradar,,english misspelt
http requests,http förfrågningar,,swedish misspelt
recaptcha,recaptcha,,both misspelt
automated assembly and disassembly,automatiserad montering och demontering,,english misspelt
sctp,sctp,,both misspelt
ipx,ipx,,both misspelt
lte roaming,lte roaming,,both misspelt
seagull,seagull,,swedish misspelt
rtd,rtd,,both misspelt
rto,rto,,both misspelt
dea,dea,,swedish misspelt
mns,mns,,swedish misspelt
traffic steering,traffic steering,,swedish misspelt
standalone,fristående,,english misspelt
client-server,klient-server,,swedish misspelt
wi-fi aware,wi-fi aware,,both misspelt
bloom filter,bloom filter,,swedish misspelt
security and privacy,säkerhet och integritet,,english misspelt
vehicle multi-hop protocol,fordons multihopp-protokoll,,english misspelt
srp,srp,,both misspelt
nxp,nxp,,both misspelt
scion,scion,,swedish misspelt
bootstrapping,bootstrapping,,both misspelt
istio,istio,,english misspelt
consul,consul,,swedish misspelt
mtls,mtls,,both misspelt
plc,plc,,both misspelt
scada security,scada säkerhet,,both misspelt
scada networks,scada-nätverk,,both misspelt
plc security,plc säkerhet,,both misspelt
tcm,tcm,,both misspelt
tpm,tpm,,both misspelt
non-repudiation,oförnekbarhet,,swedish misspelt
secre transactions,säkra transaktioner,,english misspelt
elliptic curve cryptography,elliptic curve cryptografi,,swedish misspelt
confidentiality,konfidentialitet,,swedish misspelt
volte,volte,,swedish misspelt
lbo,lbo,,both misspelt
access control,atkomstkontroll,,swedish misspelt
trigger-action,trigger-aktion,,swedish misspelt
untrusted code execution,exekveringavopålitligkod,,both misspelt
javascript sandbox,javascript-sandlåda,,both misspelt
webassembly isolation,webassemblyisolering,,both misspelt
wi-fi camera,wi-fi-kamera,,both misspelt
open platform communication unified architecture,open platform communication unified architecture,,swedish misspelt
man in the middle attack,man in the middle attack,,both misspelt
industrial internet of things,industrial internet of things,,both misspelt
time sensitive networking,time sensitive networking,,swedish misspelt
iot-devices,iot-enheter,,both misspelt
grouping iot-devices,gruppering av iot-inheter,,both misspelt
self-organising maps,self-organising maps,,swedish misspelt
denial of service,överbelastningsattack,,english misspelt
distributed denial of service,distribuerad överbelastningsattack,,english misspelt
multi-tenancy,multitenans,,both misspelt
vehiclelang,vehiclelang,,both misspelt
owasp,owasp,,both misspelt
mstg,mstg,,both misspelt
matrix,matrix,,swedish misspelt
fips,fips,,both misspelt
openvnp,openvpn,,both misspelt
izettle reader,izettle reader,,both misspelt
https,https,,swedish misspelt
multicore,multicore,,both misspelt
segment routing with ipv6,segmentering av vägval med ipv6,,both misspelt
extended berkeley packet filter,utökad berkeley packet filter,,swedish misspelt
xr,xr,,both misspelt
online virtual environments,virtuella online-miljöer,,swedish misspelt
dyna-2 architecture,dyna-2 arkitektur,,english misspelt
convolution neural network,konvolutionsneuralnätverk,,swedish misspelt
qlik sense,qlik sense,,both misspelt
self-service business intelligence,self-service business intelligence,,swedish misspelt
data discovery,data discovery,,swedish misspelt
business discovery,business discovery,,swedish misspelt
accelerometer,accelerometer,,swedish misspelt
self-branding,self-branding,,swedish misspelt
internet,internet,,swedish misspelt
chain-of-thought reasoning,chain-of-thought-resonemang,,both misspelt
metareasoning,metareasoning,,english misspelt
selfcorrection,självkorrigering,,english misspelt
ethical ai,etisk ai,,swedish misspelt
contrastive learning,contrastive learning,,swedish misspelt
multi-label error classification,klassificering av fel med flera etiketter,,english misspelt
octrees,octree,,both misspelt
rgb-d perception,färg- och djupperception,,english misspelt
motion and path planning,rörelse- och vägplannering,,both misspelt
semi- supervised learning,semi- övervakad inlärning,,english misspelt
fashion e- commerce,mode e- handel,,english misspelt
hsc,hsc,,both misspelt
deepsad,deepsad,,both misspelt
photomasks,fotomasker,,english misspelt
semi-supervised domain adaptation,semi-supervised domain adaptation,,swedish misspelt
consistency regularization,konsistensregularisering,,swedish misspelt
semi supervised learning,semisupervised learning,,swedish misspelt
lidar position optimization,lidar position optimization,,swedish misspelt
point cloud density,point cloud density,,swedish misspelt
pcl,pcl,,both misspelt
oceanbird,oceanbird,,both misspelt
pressure sensor system,kth,,swedish misspelt
cubic pm2105,cubic pm2105,,both misspelt
plantower pms5003,plantower pms5003,,both misspelt
sensorless speed control,permanentmagnetsmotor,,english misspelt
square-wave injection,synkron reluktansmotor,,swedish misspelt
sensorless control,sensorlös reglering,,english misspelt
luenberger observer,luenberger observatör,,both misspelt
synchronous reluctance machine,synkron reluktansmaskin,,swedish misspelt
twitter,twitter,,swedish misspelt
recurrent models,rnn-modeller,,swedish misspelt
convolutional models,cnn-modeller,,both misspelt
server-side,serversidan,,swedish misspelt
qos threshold,qos-tröskel,,both misspelt
web cache,webbcache,,swedish misspelt
web cache hit rate,webcache-träffhastighet,,swedish misspelt
iot platform,iot-plattformen,,both misspelt
on-premises,on-premises,,swedish misspelt
iaas,iaas,,swedish misspelt
paas,paas,,both misspelt
network slicing,nätverksskivning,,swedish misspelt
slicing weight value,skivning av viktvärde,,swedish misspelt
service chaining,service chaining,,swedish misspelt
service function chaining,ser- vice function chaining,,swedish misspelt
network management system,network management system,,swedish misspelt
virtual network function,virtual network function,,swedish misspelt
non-photorealistic rendering,ickerealistisk rendering,,english misspelt
sharepoint,sharepoint,,both misspelt
visual studio 2012,visual studio 2012,,both misspelt
the great new appmodle,the great new app model,,both misspelt
lightgbm,lightgbm,,both misspelt
learning to rank,learning to rank,,both misspelt
modelling of dynamical systems,modellering av dynamiska system,,english misspelt
wake effect,wake effect,,swedish misspelt
portugal,portugal,,swedish misspelt
windfloat atlantic,windfloat atlantic,,both misspelt
day-ahead market,day-ahead-marknad,,swedish misspelt
multivariate time series data,multivariata tidsseriedata,,swedish misspelt
variational autoencoders,variational autoencoders,,both misspelt
convolutional variational autoencoders,konvolutionella variational autoencoders,,both misspelt
tunable polarization rotator,flytande polarisationsrotator,,both misspelt
multi-agent games,fleragentsspel,,english misspelt
dna computing,dna-beräkning,,swedish misspelt
unity3d,unity3d,,both misspelt
kompact,kompact,,both misspelt
liveness,liveness,,swedish misspelt
abm,abm,,swedish misspelt
mason,mason,,swedish misspelt
sil,sil,,english misspelt
fmcw,fmcw,,both misspelt
tissue permittivity,tissue permittivitet,,both misspelt
radar cross section,radar cross section,,swedish misspelt
cfar,cfar,,both misspelt
indoor 3d propagation model,inomhus 3dspridnings modell,,swedish misspelt
inet,inet,,both misspelt
linear programming,linjärprogrammering,,swedish misspelt
elecricity tariff,eltariff,,english misspelt
uncrewed surface vessel,obemannat ytfartyg,,english misspelt
single-to-multi-agent,från en till flera agenter,,english misspelt
t5,t5,,both misspelt
sequence-to- sequence,sekvens-tillsekvens,,english misspelt
transformer-based pre-trained language model,transformatorbaserad förtränad språkmodell,,english misspelt
auto- completion,automatisk komplettering,,english misspelt
booking and payment,bokning och betalning,,english misspelt
smart contract,smart contract,,swedish misspelt
msp430,msp430,,both misspelt
gprs,gprs,,both misspelt
android wear,android wear,,swedish misspelt
phonegap,phonegap,,both misspelt
humantrajectory prediction,mänsklig bana förutsägelse,,english misspelt
fiber-to-the-home,fiber-to-the-home,,both misspelt
ftth,ftth,,both misspelt
socio-economic impact,socioekonomiska konsekvenser,,english misspelt
isp competition,isp konkurrens,,both misspelt
price of internet service,internettjänst pris,,english misspelt
statcom,statcom,,both misspelt
es-statcom,es-statcom,,both misspelt
